name,version,visitors
Safari,26.1,89
Chrome,143.0,85
Chrome,142.0,83
Chrome,144.0,80
Safari,26.0,67
Chrome,145.0,61
Chrome,141.0,58
Safari,26.2,45
Chrome,146.0,37
Chrome,117.0,29
Microsoft Edge,144.0,28
Mobile App,(not set),26
Chrome,119.0,26
Microsoft Edge,145.0,25
Safari,18.6,24
Microsoft Edge,142.0,20
Chrome,138.0,19
Chrome,140.0,19
Safari,26.3,18
Microsoft Edge,143.0,17
Firefox,140.0,13
Firefox,147.0,12
Safari,18.5,12
Samsung Browser,29.0,11
Firefox,146.0,10
Microsoft Edge,141.0,9
Firefox,148.0,9
Microsoft Edge,146.0,8
Safari,18.7,8
Firefox,144.0,5
Firefox,145.0,5
Chrome,130.0,4
(not set),(not set),3
Firefox,128.0,3
Chrome,136.0,3
Chrome,137.0,3
Chrome,139.0,3
Safari,17.5,3
Chrome,133.0,2
Safari,16.3,2
Safari,17.4,2
Yandex Browser,25.12,2
Opera,55.0,2
Firefox,57.0,2
Chrome,59.0,2
Chrome,88.0,2
Chrome,89.0,2
Android Browser,(not set),1
Safari,10.0,1
Chrome,109.0,1
Ecosia,11.5,1
Chrome,116.0,1
Chrome,120.0,1
Microsoft Edge,122.0,1
Chrome,122.0,1
Chrome,123.0,1
Microsoft Edge,124.0,1
Chrome,125.0,1
Opera,126.0,1
Chrome,131.0,1
Chrome,132.0,1
Chrome,135.0,1
Firefox,136,1
Firefox,138.3,1
Microsoft Edge,139.0,1
Firefox,141.0,1
Firefox,142.0,1
Mobile App,144.0,1
Firefox,146.1,1
Firefox,149.0,1
Safari,17.6,1
UC Browser,18.4,1
Safari,18.4,1
Yandex Browser,26.3,1
Samsung Browser,28.0,1
Maxthon,4.3,1
Whale Browser,4.33,1
Opera,64.0,1
Chromium,77.0,1
Chrome,91.0,1
Opera,94.0,1
