name,unique_entrances,total_entrances,bounce_rate,visit_duration
/,741,772,68,88
/en/,54,56,64,64
/karriere/,46,47,47,138
/impressum/,25,25,72,46
/planung-virtuelle-konferenz,17,17,0,0
/corporate-events/firmenjubilaeum,13,13,0,0
/marriott-munich-city-west/,13,13,85,33
/en,12,12,0,0
/agb-kunde/,10,10,60,58
/affiliate/,5,5,100,0
/kontakt,5,5,0,0
/agb-kunde,4,4,0,100
/kunde-agb,4,4,0,6
/munich-airport-marriott-hotel/,4,4,100,0
/virtuelle-veranstaltung-online-events/,4,4,0,4
/datenschutz/,2,2,100,0
/en/impressum/,2,2,100,0
/en/karriere/,2,2,50,161
/hybrid-event,2,2,0,0
/hybrid-event-showcase-days/,2,2,0,4
/innovative-licht-und-tontechnik,2,2,0,0
/jobs/freelancer/,2,2,0,420
/secure_access,2,2,50,1
/ueber-uns,2,2,0,0
/7-trends-in-der-veranstaltungstechnik-die-sie-kennen-sollten/tel:034297148855,1,1,100,0
/agb/,1,1,0,47
/allgemeine-geschaeftsbedingungen,1,1,0,0
/beitraege-news/kategorie-wissen/,1,1,100,0
/contact,1,1,0,0
/digitale-events/livestreaming-studio/,1,1,0,1
/downloadchecklisteempfang/,1,1,0,11
/en/agb/,1,1,100,0
/equipment-digitale-hybride-veranstaltungen,1,1,0,0
/hotellerie/,1,1,0,1
/hybrid-events-live-streaming-studio/,1,1,0,0
/ideensammlung-wow-effekte/,1,1,100,0
/im-zeitplan-bleiben/,1,1,0,0
/infoscreens/,1,1,0,21
/jobs,1,1,0,0
/kunde-agb/,1,1,100,0
/led-wand-mieten-muenchen/,1,1,0,24
/lichtgestaltung-auf-tagungen-und-kongressen/,1,1,0,0
/live-streaming/,1,1,0,0
/messe/,1,1,0,0
/online-events/,1,1,100,0
/portfolio-items/hhl-digital-space/,1,1,0,0
/portfolio-items/lprs-forum/,1,1,0,0
/portfolio-items/mit-digitalevents-flexibel-planen-the-future-of-food-farming-in-der-mca/,1,1,100,0
/projekte/,1,1,100,0
/ueber-uns/,1,1,0,4
/virtuelle-events/,1,1,0,90
/vollzeit,1,1,100,0
/wp-content/uploads/Wow-Effekte-Ideensammlung.pdf,1,1,0,6
