name,unique_exits,total_exits,exit_rate
/,661,689,59.4
/en/,71,73,51.8
/impressum/,65,65,69.9
/karriere/,52,55,46.6
/planung-virtuelle-konferenz,17,17,100.0
/en,15,15,100.0
/marriott-munich-city-west/,15,15,71.4
/corporate-events/firmenjubilaeum,13,13,100.0
/agb-kunde/,9,9,42.9
/en/karriere/,9,9,64.3
/affiliate/,5,5,71.4
/kontakt,5,5,55.6
/munich-airport-marriott-hotel/,4,4,80.0
/agb-kunde,3,3,75.0
/agb/,3,3,27.3
/datenschutz/,3,3,37.5
/en/agb/,3,3,50.0
/kunde-agb,3,3,42.9
/en/impressum/,2,2,66.7
/hybrid-event,2,2,100.0
/innovative-licht-und-tontechnik,2,2,100.0
/jobs/freelancer/,2,2,66.7
/munich-marriott-hotel/,2,2,100.0
/secure_access,2,2,100.0
/ueber-uns,2,2,100.0
/virtuelle-veranstaltung-online-events/,2,2,50.0
/7-trends-in-der-veranstaltungstechnik-die-sie-kennen-sollten/tel:034297148855,1,1,100.0
/allgemeine-geschaeftsbedingungen,1,1,100.0
/awp-admin,1,1,100.0
/beitraege-news/kategorie-wissen/,1,1,100.0
/contact,1,1,100.0
/digitale-events/livestreaming-studio/,1,1,100.0
/downloadchecklisteempfang/,1,1,100.0
/en/agb-kunde/,1,1,50.0
/en/karriere/data-et-multi-view-load-tablet-hidden=,1,1,100.0
/equipment-digitale-hybride-veranstaltungen,1,1,100.0
/hotellerie/,1,1,100.0
/hybrid-event-showcase-days/,1,1,50.0
/hybrid-events-live-streaming-studio/,1,1,100.0
/ideensammlung-wow-effekte/,1,1,100.0
/im-zeitplan-bleiben/,1,1,100.0
/infoscreens/,1,1,100.0
/jobs,1,1,100.0
/karriere,1,1,50.0
/kunde-agb/,1,1,100.0
/lichtgestaltung-auf-tagungen-und-kongressen/,1,1,100.0
/live-streaming/,1,1,100.0
/messe/,1,1,100.0
/online-events/,1,1,100.0
/portfolio-items/hhl-digital-space/,1,1,100.0
/portfolio-items/lprs-forum/,1,1,100.0
/portfolio-items/mit-digitalevents-flexibel-planen-the-future-of-food-farming-in-der-mca/,1,1,100.0
/projekte/,1,1,100.0
/raumwandel-licht-sound-video/,1,1,100.0
/veranstaltungstechnik-mieten/,1,1,100.0
/virtuelle-events/,1,1,100.0
/vollzeit,1,1,100.0
/was,1,1,20.0
/wp-adin,1,1,100.0
