name,visitors,bounce_rate,visit_duration
Direct / None,620,57,80
Google,282,70,53
Bing,34,65,49
Facebook,17,41,7
chatgpt.com,16,50,49
LinkedIn,13,69,41
metajob.de,8,0,659
DuckDuckGo,6,67,35
xcom.live,6,50,144
Instagram,4,50,60
bo.weglot.com,4,0,162
Ecosia,3,33,31
Yahoo!,3,100,0
dashboard.weglot.com,3,0,216
link.edgepilot.com,3,33,44
Baidu,2,100,0
Perplexity,2,0,20
Yandex,2,0,1730
secure.helpscout.net,2,0,53
bayern.jobs,1,0,38
branchenbuch.meinestadt.de,1,100,0
elevenonemore.de,1,0,57
ensun.io,1,100,0
globalstepstone.lightning.force.com,1,100,0
scherer-schmid.de,1,0,246
web2.cylex.de,1,100,0
