date,visitors,pageviews,visits,views_per_visit,bounce_rate,visit_duration
2025-04-01,0,0,0,0.0,0.0,
2025-04-07,0,0,0,0.0,0.0,
2025-04-14,0,0,0,0.0,0.0,
2025-04-21,0,0,0,0.0,0.0,
2025-04-28,0,0,0,0.0,0.0,
2025-05-05,0,0,0,0.0,0.0,
2025-05-12,0,0,0,0.0,0.0,
2025-05-19,0,0,0,0.0,0.0,
2025-05-26,0,0,0,0.0,0.0,
2025-06-02,0,0,0,0.0,0.0,
2025-06-09,0,0,0,0.0,0.0,
2025-06-16,0,0,0,0.0,0.0,
2025-06-23,0,0,0,0.0,0.0,
2025-06-30,0,0,0,0.0,0.0,
2025-07-07,0,0,0,0.0,0.0,
2025-07-14,0,0,0,0.0,0.0,
2025-07-21,0,0,0,0.0,0.0,
2025-07-28,0,0,0,0.0,0.0,
2025-08-04,0,0,0,0.0,0.0,
2025-08-11,0,0,0,0.0,0.0,
2025-08-18,0,0,0,0.0,0.0,
2025-08-25,0,0,0,0.0,0.0,
2025-09-01,0,0,0,0.0,0.0,
2025-09-08,0,0,0,0.0,0.0,
2025-09-15,0,0,0,0.0,0.0,
2025-09-22,0,0,0,0.0,0.0,
2025-09-29,0,0,0,0.0,0.0,
2025-10-06,0,0,0,0.0,0.0,
2025-10-13,5,5,5,1.0,80,0
2025-10-20,82,132,87,1.52,56,151
2025-10-27,77,158,84,1.88,52,58
2025-11-03,36,45,37,1.22,59,14
2025-11-10,37,43,37,1.16,70,55
2025-11-17,45,62,48,1.29,73,35
2025-11-24,31,53,31,1.71,55,16
2025-12-01,11,12,11,1.09,82,1
2025-12-08,38,52,40,1.3,75,27
2025-12-15,50,69,51,1.35,69,16
2025-12-22,23,28,26,1.08,35,17
2025-12-29,16,24,16,1.5,44,32
2026-01-05,35,54,36,1.5,67,131
2026-01-12,63,159,64,2.48,44,74
2026-01-19,87,179,89,2.01,66,217
2026-01-26,38,68,39,1.74,51,169
2026-02-02,50,68,51,1.33,65,52
2026-02-09,54,100,54,1.85,57,65
2026-02-16,33,52,33,1.58,61,41
2026-02-23,44,60,46,1.3,72,12
2026-03-02,51,105,56,1.88,64,89
2026-03-09,40,66,40,1.65,50,57
2026-03-16,33,57,34,1.68,56,39
2026-03-23,42,70,43,1.63,53,58
2026-03-30,11,20,14,1.43,50,140
